StudentID,DOB,Bid Data,Cloud Computing,Programming paradigms,Reconfigurable computing,Total,Result
314377,30-11-1999,89,48,37,60,234,Pass
783507,24-04-2001,69,78,97,47,291,Pass
671039,20-04-2006,1,4,26,21,52,Fail
963796,30-09-2002,65,38,62,76,241,Pass
786688,18-01-2002,22,89,25,32,168,Fail
980661,23-01-2003,75,65,56,19,215,Fail
890157,02-11-2003,55,12,19,39,125,Fail
678365,16-05-2005,35,35,38,5,113,Fail
387931,15-12-2000,12,53,39,13,117,Fail
819152,10-09-1999,78,35,71,97,281,Pass
586968,22-01-2000,16,20,74,39,149,Fail
301752,29-09-2004,49,53,37,100,239,Pass
303869,25-12-2001,1,74,97,91,263,Fail
629448,04-08-2005,0,8,96,41,145,Fail
683661,24-08-2000,54,57,83,33,227,Fail
412660,31-01-2005,4,90,36,3,133,Fail
222052,30-10-2000,38,44,13,16,111,Fail
279373,02-06-2002,75,10,83,86,254,Fail
636807,10-09-2001,47,60,88,64,259,Pass
771551,05-09-2003,42,57,34,21,154,Fail
167163,03-10-2003,86,18,16,44,164,Fail
283460,02-02-2006,78,91,31,7,207,Fail
385728,17-07-2004,62,45,18,74,199,Fail
755805,30-10-2004,50,49,61,0,160,Fail
926956,21-06-2001,46,40,45,47,178,Pass
237965,31-10-2004,26,42,72,59,199,Fail
281152,06-11-2003,10,26,23,25,84,Fail
634960,29-06-2003,49,50,98,16,213,Fail
162237,19-02-2006,59,6,6,54,125,Fail
996157,06-07-1999,12,9,50,89,160,Fail
151383,14-11-2005,44,81,93,5,223,Fail
438469,13-10-2005,15,66,30,47,158,Fail
221525,17-02-2000,64,77,98,60,299,Pass
187968,12-03-2000,66,30,4,94,194,Fail
178281,18-07-2002,89,45,95,17,246,Fail
388099,09-02-2001,74,4,59,48,185,Fail
343692,15-01-2001,10,41,81,94,226,Fail
956404,31-10-2005,40,68,24,56,188,Fail
108788,21-08-2002,40,3,62,10,115,Fail
441802,15-06-2003,54,22,84,41,201,Fail
821828,22-06-2003,19,15,94,95,223,Fail
265617,25-08-2000,51,1,94,48,194,Fail
243081,03-04-2003,49,24,100,8,181,Fail
436992,19-11-2000,23,85,42,66,216,Fail
613372,18-10-2002,10,16,32,49,107,Fail
989004,31-12-2006,82,85,1,27,195,Fail
705987,20-11-2001,15,29,27,25,96,Fail
856821,23-09-2004,72,98,18,38,226,Fail
966279,24-06-2004,36,79,62,52,229,Pass
741143,02-03-2005,82,90,2,81,255,Fail
305509,14-02-2006,64,90,35,38,227,Pass
987011,11-12-2004,59,4,64,42,169,Fail
145044,25-04-2007,60,33,98,22,213,Fail
180418,29-09-2005,93,40,64,11,208,Fail
170318,20-09-1999,37,40,30,21,128,Fail
125556,17-10-2000,58,55,3,62,178,Fail
532162,16-04-2005,28,83,73,73,257,Fail
588293,09-10-2002,74,3,56,55,188,Fail
